Target_pos_z	0.35
Target_color	green
SessionTime	TrialTime	Cursor_posx	Cursor_posy	Cursor_posz	MouseX	MouseY	Phase	TargetAchieved
104.0576	0	0	0	0	0	0	chrono	False
104.0659	0.008338928	0	0	0	0	0	chrono	False
104.0735	0.01596832	0	0	0	0	0	chrono	False
104.0828	0.02523041	0	0	0	0	0	chrono	False
104.0901	0.03257751	0	0	0	0	0	chrono	False
104.0972	0.0395813	0	0	0	0	0	chrono	False
104.1042	0.04662323	0	0	0	0	0	chrono	False
104.1119	0.05435944	0	0	0	0	0	chrono	False
104.1187	0.0611496	0	0	0	0	0	chrono	False
104.1273	0.06969452	0	0	0	0	0	chrono	False
104.1342	0.07667542	0	0	0	0	0	chrono	False
104.1424	0.08486176	0	0	0	0	0	chrono	False
104.1503	0.09268951	0	0	0	0	0	chrono	False
104.1577	0.10009	0	0	0	0	0	chrono	False
104.1655	0.107933	0	0	0	0	0	chrono	False
104.1734	0.1158524	0	0	0	0	0	chrono	False
104.1856	0.1280746	0	0	0	0	0	chrono	False
104.1945	0.1369781	0	0	0	0	0	chrono	False
104.2014	0.1438751	0	0	0	0	0	chrono	False
104.2098	0.1522293	0	0	0	0	0	chrono	False
104.2169	0.1593246	0	0	0	0	0	chrono	False
104.2251	0.1675186	0	0	0	0	0	chrono	False
104.2324	0.1748276	0	0	0	0	0	chrono	False
104.2395	0.1819611	0	0	0	0	0	chrono	False
104.2477	0.1901398	0	0	0	0	0	chrono	False
104.2548	0.197258	0	0	0	0	0	chrono	False
104.2634	0.2058258	0	0	0	0	0	chrono	False
104.2711	0.213562	0	0	0	0	0	chrono	False
104.2797	0.222168	0	0	0	0	0	chrono	False
104.2875	0.2299347	0	0	0	0	0	chrono	False
104.296	0.2384567	0	0	0	0	0	chrono	False
104.3028	0.2452698	0	0	0	0	0	chrono	False
104.3121	0.2544937	0	0	0	0	0	chrono	False
104.3195	0.26194	0	0	0	0	0	chrono	False
104.3278	0.2702637	0	0	0	0	0	chrono	False
104.3354	0.2778397	0	0	0	0	0	chrono	False
104.3433	0.285759	0	0	0	0	0	chrono	False
104.3513	0.2937241	0	0	0	0	0	chrono	False
104.3591	0.3015213	0	0	0	0	0	chrono	False
104.367	0.3094482	0	0	0	0	0	chrono	False
104.3754	0.3178024	0	0	0	0	0	chrono	False
104.3829	0.3253632	0	0	0	0	0	chrono	False
104.3914	0.333847	0	0	0	0	0	chrono	False
104.3991	0.3415375	0	0	0	0	0	chrono	False
104.4065	0.3488922	0	0	0	0	0	chrono	False
104.4141	0.3565445	0	0	0	0	0	chrono	False
104.4208	0.3632736	0	0	0	0	0	chrono	False
104.4297	0.3721695	0	0	0	0	0	chrono	False
104.4363	0.3787003	0	0	0	0	0	chrono	False
104.4448	0.3872299	0	0	0	0	0	chrono	False
104.4518	0.3942337	0	0	0	0	0	chrono	False
104.4595	0.401886	0	0	0	0	0	chrono	False
104.4674	0.4098053	0	0	0	0	0	chrono	False
104.4753	0.4176941	0	0	0	0	0	chrono	False
104.4836	0.4260025	0	0	0	0	0	chrono	False
104.4908	0.4332352	0	0	0	0	0	chrono	False
104.498	0.4404373	0	0	0	0	0	chrono	False
104.5057	0.448143	0	0	0	0	0	chrono	False
104.5123	0.4547272	0	0	0	0	0	chrono	False
104.5192	0.4616318	0	0	0	0	0	chrono	False
