Target_pos_z	0.3
Target_color	red
SessionTime	TrialTime	Cursor_posx	Cursor_posy	Cursor_posz	MouseX	MouseY	Phase	TargetAchieved
114.8348	0	0	0	0	-0.05	0.15	chrono	False
114.8435	0.00869751	0	0	0	-0.05	0.05	chrono	False
114.8506	0.01570892	0	0	0	-0.05	0.1	chrono	False
114.8576	0.02276611	0	0	0	0	0	chrono	False
114.8646	0.02976227	0	0	0	0	0.05	chrono	False
114.8717	0.03681183	0	0	0	-0.05	0	chrono	False
114.8791	0.04428864	0	0	0	0	0.05	chrono	False
114.8856	0.05075836	0	0	0	0	0	chrono	False
114.8941	0.05929565	0	0	0	0	0.05	chrono	False
114.9005	0.06562042	0	0	0	0	0	chrono	False
114.9078	0.07295227	0	0	0	0	0	chrono	False
114.9182	0.08337402	0	0	0	0	0	chrono	False
114.9266	0.09177399	0	0	0	0	0	chrono	False
114.9334	0.09855652	0	0	0	0	0	chrono	False
114.9407	0.1058655	0	0	0	0	0	chrono	False
114.9477	0.1128235	0	0	0	0	0	chrono	False
114.9538	0.1189117	0	0	0	0	0	chrono	False
114.9617	0.1268463	0	0	0	0	0	chrono	False
114.9679	0.1330414	0	0	0	0	0	chrono	False
114.9752	0.1403046	0	0	0	0	0	chrono	False
114.9819	0.1470795	0	0	0	0	0	chrono	False
114.9885	0.1536331	0	0	0	0	0	chrono	False
114.9959	0.1610947	0	0	0	0	0	chrono	False
115.0021	0.1672668	0	0	0	0	0	chrono	False
115.011	0.1761246	0	0	0	0	-0.05	chrono	False
115.0174	0.182579	0	0	0	0	0	chrono	False
115.0247	0.1898575	0	0	0	0	0	chrono	False
115.0313	0.1964951	0	0	0	0	0	chrono	False
115.0378	0.2029419	0	0	0	0	-0.05	chrono	False
115.0456	0.2107849	0	0	0	0	0	chrono	False
115.0517	0.2168884	0	0	0	0	0	chrono	False
115.0597	0.224823	0	0	0	0	0	chrono	False
115.066	0.2311249	0	0	0	0	0	chrono	False
115.0731	0.2382584	0	0	0	0	0	chrono	False
115.0797	0.2448807	0	0	0	0	0	chrono	False
115.0857	0.2509003	0	0	0	0	0	chrono	False
115.0938	0.2589417	0	0	0	0	0	chrono	False
115.1001	0.2652359	0	0	0	0	-0.05	chrono	False
115.1073	0.2724304	0	0	0	0	0	chrono	False
115.1143	0.2794037	0	0	0	0	0	chrono	False
115.1211	0.2863007	0	0	0	0	0	chrono	False
115.1301	0.2952042	0	0	0	0	0	chrono	False
115.1376	0.3027878	0	0	0	0	0	chrono	False
115.1472	0.3123703	0	0	0	0	0	chrono	False
115.1546	0.3197327	0	0	0	0	0	chrono	False
115.1628	0.327919	0	0	0	0	0	chrono	False
115.1693	0.3344955	0	0	0	0	0	chrono	False
115.1775	0.3426056	0	0	0	0	0	chrono	False
115.1843	0.3494186	0	0	0	0	0	chrono	False
115.1924	0.3575516	0	0	0	0	0	chrono	False
115.2004	0.3655472	0	0	0	0	0	chrono	False
115.2082	0.3733063	0	0	0	0	0	chrono	False
115.2149	0.3800201	0	0	0	0	0	chrono	False
115.2218	0.387001	0	0	0	0	0	chrono	False
115.2299	0.3950653	0	0	0	0	0	chrono	False
115.2365	0.4016113	0	0	0	0	0	chrono	False
115.2448	0.4099121	0	0	0	0	0	chrono	False
115.2512	0.4163971	0	0	0	0	0	chrono	False
115.2594	0.4245224	0	0	0	0	0	chrono	False
115.2662	0.4313583	0	0	0	0	0	chrono	False
115.2738	0.4389267	0	0	0	0	0	chrono	False
115.2809	0.4460526	0	0	0	0	0	chrono	False
115.2877	0.452858	0	0	0	0	0	chrono	False
115.2963	0.4614563	0	0	0	0	0	chrono	False
115.3032	0.4683533	0	0	0	0	0	chrono	False
115.3126	0.4777527	0	0	0	0	0	chrono	False
115.319	0.4841919	0	0	0	0	0	chrono	False
115.3287	0.4938202	0	0	0	0	0	chrono	False
115.336	0.5011444	0	0	0	0	-0.05	chrono	False
115.3457	0.5108414	0	0	0	0	0	chrono	False
115.3532	0.5183563	0	0	0	0	-0.05	chrono	False
115.3636	0.528717	0	0	0	0	-0.05	chrono	False
115.3707	0.535881	0	0	0	0	0	chrono	False
115.38	0.5451584	0	0	0	0	0	chrono	False
115.3878	0.5529175	0	0	0	0	-0.05	chrono	False
115.3963	0.5614243	0	0	0	0	-0.05	chrono	False
115.4024	0.5675812	0	0	0	0	0	chrono	False
115.4127	0.5778198	0	0	0	0	-0.1	chrono	False
115.42	0.5851822	0	0	0	0	-0.05	chrono	False
115.4295	0.5946503	0	0	0	0	-0.05	chrono	False
115.4361	0.6012421	0	0	0	0	-0.05	chrono	False
115.4447	0.6098175	0	0	0	0	-0.05	chrono	False
115.4512	0.616333	0	0	0	0	-0.1	chrono	False
115.4606	0.6257629	0	0	0	-0.1	-0.7	chrono	False
115.4682	0.6333466	0	0	0	-0.1	-0.8	chrono	False
115.4775	0.6426086	0	0	0	-0.2	-0.9	chrono	False
115.485	0.6501465	0	0	0	-0.15	-0.65	chrono	False
115.4954	0.6605148	0	0	0	-0.15	-0.85	chrono	False
115.5024	0.6675873	0	0	0	-0.05	-0.2	chrono	False
115.5117	0.6768646	0	0	0	-0.05	-0.15	chrono	False
115.5189	0.6840363	0	0	0	-0.05	-0.1	chrono	False
115.5283	0.6934814	0	0	0	0	-0.1	chrono	False
115.5356	0.7007599	0	0	0	-0.05	-0.15	chrono	False
115.5452	0.7103195	0	0	0	-0.05	-0.35	chrono	False
115.5521	0.7172699	0	0	0	-0.05	-0.25	chrono	False
115.5618	0.7269516	0	0	0	-0.05	-0.3	chrono	False
115.5689	0.7340469	0	0	0	-0.05	-0.4	chrono	False
115.5815	0.7466049	0	0	0	-0.05	-0.7	chrono	False
115.5899	0.7550583	0	0	0	-0.05	-0.3	chrono	False
115.5975	0.7626495	0	0	0	0	-0.2	chrono	False
115.6053	0.7704926	0	0	0	-0.05	-0.2	chrono	False
115.6146	0.7797394	0	0	0	-0.05	-0.25	chrono	False
115.6234	0.7885437	0	0	0	0	-0.05	chrono	False
115.6311	0.7962418	0	0	0	0	-0.1	chrono	False
115.6389	0.8040848	0	0	0	-0.05	-0.1	chrono	False
115.6473	0.8124313	0	0	0	0	-0.1	chrono	False
115.6544	0.819519	0	0	0	-0.05	-0.1	chrono	False
115.6631	0.8282471	0	0	0	-0.05	-0.25	chrono	False
115.6703	0.835495	0	0	0	0	-0.15	chrono	False
115.6793	0.8444214	0	0	0	-0.05	-0.1	chrono	False
115.6864	0.8515625	0	0	0	0	-0.15	chrono	False
115.6951	0.8602524	0	0	0	-0.05	-0.1	chrono	False
115.702	0.8671722	0	0	0	0	-0.1	chrono	False
115.7105	0.8756256	0	0	0	-0.05	-0.05	chrono	False
115.7175	0.882637	0	0	0	0	-0.05	chrono	False
115.7264	0.8915253	0	0	0	-0.05	-0.15	chrono	False
115.7334	0.8985367	0	0	0	0	0	chrono	False
115.7414	0.9065247	0	0	0	0	-0.05	chrono	False
115.7494	0.9145584	0	0	0	0	-0.05	chrono	False
115.7573	0.9224625	0	0	0	0	0	chrono	False
115.7648	0.9299469	0	0	0	0	0	chrono	False
115.7725	0.9376526	0	0	0	0	-0.05	chrono	False
115.7805	0.9456329	0	0	0	0	0	chrono	False
115.7872	0.9523315	0	0	0	0	0	chrono	False
115.7965	0.9616547	0	0	0	0	0	chrono	False
115.8031	0.9682541	0	0	0	0	0	chrono	False
115.8123	0.977478	0	0	0	0	0.05	chrono	False
115.8186	0.9837952	0	0	0	0	0	chrono	False
115.8277	0.9928818	0	0	0	0	0	chrono	False
115.8347	0.999855	0	0	0	0	0.05	chrono	False
115.8441	1.009216	0	0	0	0	0.05	chrono	False
115.8508	1.015953	0	0	0	0	0	chrono	False
115.8593	1.024437	0	0	0	0	0	chrono	False
115.8666	1.031715	0	0	0	0	0.05	chrono	False
115.8742	1.039345	0	0	0	0	0	chrono	False
115.8819	1.047081	0	0	0	0	0.05	chrono	False
115.8898	1.054909	0	0	0	0	0	chrono	False
115.898	1.063148	0	0	0	0	0.05	chrono	False
