Target_pos_z	0.2
Target_color	green
SessionTime	TrialTime	Cursor_posx	Cursor_posy	Cursor_posz	MouseX	MouseY	Phase	TargetAchieved
2.141461	4.529953E-06	0	0	0	0	0	chrono	False
2.619362	0.4779041	0	0	0	0	0	chrono	False
2.673851	0.5323925	0	0	0	-5.05	-3.15	chrono	False
2.710395	0.5689373	0	0	0	-0.05	0.2	chrono	False
2.723236	0.581778	0	0	0	0	0.25	chrono	False
2.732179	0.5907207	0	0	0	-0.05	0.05	chrono	False
2.745741	0.6042836	0	0	0	0	0.1	chrono	False
2.757941	0.616483	0	0	0	0	0.1	chrono	False
2.768979	0.6275208	0	0	0	0	0.05	chrono	False
2.777934	0.6364753	0	0	0	0	0.05	chrono	False
2.788613	0.6471548	0	0	0	0	0	chrono	False
2.798816	0.6573577	0	0	0	0	0.05	chrono	False
2.811371	0.6699128	0	0	0	0	0.05	chrono	False
2.822724	0.6812656	0	0	0	0	0.05	chrono	False
2.829975	0.6885169	0	0	0	0	0	chrono	False
2.841861	0.7004025	0	0	0	0	0	chrono	False
2.850898	0.7094402	0	0	0	0	0	chrono	False
2.862566	0.721108	0	0	0	0	0	chrono	False
2.877209	0.7357507	0	0	0	0	0	chrono	False
2.892472	0.751014	0	0	0	0	0	chrono	False
2.902684	0.7612259	0	0	0	0	0	chrono	False
2.917645	0.7761879	0	0	0	0	0	chrono	False
2.928166	0.7867079	0	0	0	0	0	chrono	False
2.940394	0.7989361	0	0	0	0	0	chrono	False
2.950616	0.8091586	0	0	0	0	0	chrono	False
2.959834	0.8183758	0	0	0	0	0	chrono	False
2.969217	0.8277595	0	0	0	0	0	chrono	False
2.97763	0.8361719	0	0	0	0	0	chrono	False
2.988105	0.8466468	0	0	0	0	0	chrono	False
2.996675	0.855217	0	0	0	0	0	chrono	False
3.008109	0.8666506	0	0	0	0	0	chrono	False
3.015553	0.8740952	0	0	0	0	0	chrono	False
3.026598	0.8851397	0	0	0	0	0	chrono	False
3.035766	0.8943081	0	0	0	0	0	chrono	False
3.046121	0.9046628	0	0	0	0	0	chrono	False
3.058426	0.9169679	0	0	0	0	0	chrono	False
