Target_pos_z	0.25
Target_color	green
SessionTime	TrialTime	Cursor_posx	Cursor_posy	Cursor_posz	MouseX	MouseY	Phase	TargetAchieved
53.85788	0	0	0	0	0	0	chrono	False
53.86288	0.005004883	0	0	0	0	0	chrono	False
53.86874	0.01086044	0	0	0	0	0	chrono	False
53.87399	0.01610947	0	0	0	0	0	chrono	False
53.87911	0.02122879	0	0	0	0	0	chrono	False
53.8842	0.02632523	0	0	0	0	0	chrono	False
53.88994	0.03206253	0	0	0	0	0	chrono	False
53.89513	0.03725052	0	0	0	0	0	chrono	False
53.90006	0.04218292	0	0	0	0	0	chrono	False
53.9058	0.04791641	0	0	0	0	0	chrono	False
53.91138	0.05349731	0	0	0	0	0	chrono	False
53.91678	0.05889893	0	0	0	0	0	chrono	False
53.92212	0.0642395	0	0	0	0	0	chrono	False
53.92724	0.06936264	0	0	0	0	0	chrono	False
53.93253	0.07464981	0	0	0	0	0	chrono	False
53.93806	0.08018875	0	0	0	0	0	chrono	False
53.94339	0.08551025	0	0	0	0	0	chrono	False
53.94848	0.09060287	0	0	0	0	0	chrono	False
53.95397	0.09609222	0	0	0	0	0	chrono	False
53.95917	0.1012878	0	0	0	0	0	chrono	False
53.96405	0.1061668	0	0	0	0	0	chrono	False
53.96946	0.1115761	0	0	0	0	0	chrono	False
53.97512	0.1172371	0	0	0	0	0	chrono	False
53.98463	0.1267471	0	0	0	0	0	chrono	False
53.99117	0.1332893	0	0	0	0	0	chrono	False
53.99616	0.138279	0	0	0	0	0	chrono	False
54.00194	0.1440582	0	0	0	0	0	chrono	False
54.00724	0.1493645	0	0	0	0	0	chrono	False
54.01216	0.1542816	0	0	0	0	0	chrono	False
54.01715	0.1592751	0	0	0	0	0	chrono	False
54.02306	0.165184	0	0	0	0	0	chrono	False
54.02826	0.1703758	0	0	0	0	0	chrono	False
54.03343	0.1755524	0	0	0	0	0	chrono	False
54.03919	0.1813126	0	0	0	0	0	chrono	False
54.04437	0.1864891	0	0	0	0	0	chrono	False
54.04958	0.1916962	0	0	0	0	0	chrono	False
54.05471	0.1968269	0	0	0	0	0	chrono	False
54.06033	0.202446	0	0	0	0	0	chrono	False
54.06539	0.2075081	0	0	0	0	0	chrono	False
54.07121	0.2133331	0	0	0	0	0	chrono	False
54.07648	0.2185974	0	0	0	0	0	chrono	False
54.08162	0.2237434	0	0	0	0	0	chrono	False
54.08756	0.2296829	0	0	0	0	0	chrono	False
54.09262	0.234745	0	0	0	0	0	chrono	False
54.09806	0.240181	0	0	0	0	0	chrono	False
54.10308	0.2451973	0	0	0	0	0	chrono	False
54.10881	0.2509308	0	0	0	0	0	chrono	False
54.11382	0.2559357	0	0	0	0	0	chrono	False
54.1194	0.261528	0	0	0	0	0	chrono	False
54.12444	0.2665634	0	0	0	0	0	chrono	False
54.12963	0.2717514	0	0	0	0	0	chrono	False
54.13461	0.2767258	0	0	0	0	0	chrono	False
54.14022	0.282341	0	0	0	0	0	chrono	False
54.14534	0.2874565	0	0	0	0	0	chrono	False
54.15055	0.2926712	0	0	0	0	0	chrono	False
54.15622	0.2983437	0	0	0	0	0	chrono	False
