Target_pos_z	0.3
Target_color	red
SessionTime	TrialTime	Cursor_posx	Cursor_posy	Cursor_posz	MouseX	MouseY	Phase	TargetAchieved
12.54504	9.536743E-07	0	0	0	0	0.1	chrono	False
12.55217	0.007122993	0	0	0	0	0	chrono	False
12.56194	0.01689529	0	0	0	0	0.05	chrono	False
12.56936	0.0243187	0	0	0	0	0	chrono	False
12.57901	0.03396893	0	0	0	0	0.05	chrono	False
12.58721	0.04216671	0	0	0	0	0.05	chrono	False
12.59674	0.05169582	0	0	0	0	0	chrono	False
12.60668	0.06163311	0	0	0	-0.05	0.05	chrono	False
12.61778	0.07274151	0	0	0	0	0	chrono	False
12.62745	0.08240986	0	0	0	0	0	chrono	False
12.63506	0.09001827	0	0	0	0	0	chrono	False
12.64477	0.09972954	0	0	0	0	0	chrono	False
12.65206	0.1070166	0	0	0	0	0	chrono	False
12.66222	0.1171799	0	0	0	0	0	chrono	False
12.66955	0.124506	0	0	0	0	0	chrono	False
12.67893	0.1338844	0	0	0	0	0	chrono	False
12.68605	0.1410074	0	0	0	0	0	chrono	False
12.69528	0.1502409	0	0	0	0	0	chrono	False
12.70356	0.1585169	0	0	0	0	0	chrono	False
12.72218	0.1771383	0	0	0	0	0	chrono	False
12.73766	0.1926174	0	0	0	0	0	chrono	False
12.74946	0.2044201	0	0	0	0	0	chrono	False
12.76028	0.2152319	0	0	0	0	0	chrono	False
12.76666	0.2216158	0	0	0	0	0	chrono	False
12.7766	0.2315569	0	0	0	0	0	chrono	False
12.78268	0.2376394	0	0	0	0	0	chrono	False
12.79155	0.2465048	0	0	0	0	0	chrono	False
12.79803	0.2529907	0	0	0	0	0	chrono	False
12.80768	0.2626343	0	0	0	0	0	chrono	False
12.81453	0.2694874	0	0	0	0	0	chrono	False
12.82333	0.2782812	0	0	0	0	0	chrono	False
12.83039	0.2853479	0	0	0	0	0	chrono	False
12.84002	0.2949743	0	0	0	0	0	chrono	False
12.84709	0.3020458	0	0	0	0	0	chrono	False
12.86027	0.3152294	0	0	0	0	0	chrono	False
12.86727	0.3222237	0	0	0	0	0	chrono	False
12.87711	0.3320627	0	0	0	0	0	chrono	False
12.884	0.3389521	0	0	0	0	0	chrono	False
12.89417	0.3491268	0	0	0	-0.05	0	chrono	False
12.90197	0.3569307	0	0	0	0	0	chrono	False
12.91112	0.3660765	0	0	0	0	0	chrono	False
12.91725	0.3722029	0	0	0	0	0	chrono	False
12.92885	0.3838091	0	0	0	0	0	chrono	False
12.93788	0.3928347	0	0	0	0	0	chrono	False
12.94585	0.4008055	0	0	0	0	0	chrono	False
12.95475	0.4097118	0	0	0	-0.05	-0.05	chrono	False
12.96259	0.4175472	0	0	0	0	0	chrono	False
12.97162	0.4265757	0	0	0	0	0	chrono	False
12.97894	0.4338942	0	0	0	0	-0.05	chrono	False
12.98666	0.4416151	0	0	0	0	0	chrono	False
12.99523	0.4501905	0	0	0	0	0	chrono	False
13.00387	0.4588318	0	0	0	-0.05	-0.05	chrono	False
13.01311	0.4680662	0	0	0	0	0	chrono	False
13.02258	0.4775314	0	0	0	0	-0.05	chrono	False
13.03162	0.4865761	0	0	0	-0.05	0	chrono	False
13.04217	0.4971285	0	0	0	0	-0.05	chrono	False
13.04864	0.5035963	0	0	0	0	0	chrono	False
13.05877	0.513731	0	0	0	-0.05	-0.05	chrono	False
13.0662	0.5211554	0	0	0	0	0	chrono	False
13.07634	0.5312967	0	0	0	0	-0.05	chrono	False
13.08335	0.5383062	0	0	0	0	-0.05	chrono	False
13.09374	0.5486956	0	0	0	0	-0.05	chrono	False
13.10034	0.555294	0	0	0	0	0	chrono	False
13.11169	0.5666466	0	0	0	0	-0.1	chrono	False
13.11939	0.5743494	0	0	0	0	-0.05	chrono	False
13.12887	0.5838308	0	0	0	0	-0.05	chrono	False
13.13657	0.5915308	0	0	0	0	-0.05	chrono	False
13.14663	0.6015844	0	0	0	0	-0.15	chrono	False
13.15546	0.6104145	0	0	0	0	-0.15	chrono	False
13.16452	0.6194735	0	0	0	0.05	-0.3	chrono	False
13.17547	0.6304302	0	0	0	0	-0.2	chrono	False
13.18259	0.6375465	0	0	0	0.05	-0.2	chrono	False
13.19295	0.6479015	0	0	0	0.05	-0.45	chrono	False
13.19983	0.654789	0	0	0	0	-0.25	chrono	False
13.21072	0.665679	0	0	0	0.05	-0.2	chrono	False
