Target_pos_z	0.35
Target_color	green
SessionTime	TrialTime	Cursor_posx	Cursor_posy	Cursor_posz	MouseX	MouseY	Phase	TargetAchieved
7.548158	4.768372E-07	0	0	0	0	0.3	chrono	False
7.559371	0.01121283	0	0	0	0.05	0.5	chrono	False
7.567118	0.01896048	0	0	0	0	0.2	chrono	False
7.578143	0.02998495	0	0	0	0.05	0.2	chrono	False
7.586322	0.03816462	0	0	0	0	0.1	chrono	False
7.596349	0.04819107	0	0	0	0	0.05	chrono	False
7.604261	0.05610323	0	0	0	0	0.05	chrono	False
7.615471	0.06731319	0	0	0	0	0.05	chrono	False
7.62613	0.07797289	0	0	0	0	0	chrono	False
7.632997	0.08483887	0	0	0	0	0.05	chrono	False
7.643813	0.09565544	0	0	0	0	0.05	chrono	False
7.650658	0.1025004	0	0	0	0	0	chrono	False
7.660951	0.1127934	0	0	0	0	0	chrono	False
7.667818	0.1196609	0	0	0	0	0	chrono	False
7.677839	0.1296811	0	0	0	0	0	chrono	False
7.684761	0.1366034	0	0	0	0	0	chrono	False
7.694773	0.1466146	0	0	0	0	0	chrono	False
7.702472	0.1543145	0	0	0	0	0	chrono	False
7.712369	0.1642113	0	0	0	-0.05	0	chrono	False
7.720154	0.1719961	0	0	0	0	0	chrono	False
7.729413	0.1812553	0	0	0	0	0	chrono	False
7.737619	0.1894617	0	0	0	0	0	chrono	False
7.75694	0.2087822	0	0	0	0	0	chrono	False
7.771513	0.2233558	0	0	0	-0.05	0	chrono	False
7.782564	0.2344055	0	0	0	0	-0.05	chrono	False
7.792352	0.2441945	0	0	0	0	0	chrono	False
7.799749	0.2515917	0	0	0	0	0	chrono	False
7.809743	0.2615852	0	0	0	0	-0.05	chrono	False
7.816255	0.2680974	0	0	0	0	0	chrono	False
7.825527	0.2773695	0	0	0	0	0	chrono	False
7.832563	0.2844052	0	0	0	-0.05	0	chrono	False
7.842163	0.2940049	0	0	0	0	-0.05	chrono	False
7.848552	0.3003941	0	0	0	0	0	chrono	False
7.858395	0.3102374	0	0	0	0	-0.05	chrono	False
7.865138	0.3169804	0	0	0	0	0	chrono	False
7.873389	0.3252316	0	0	0	0	0	chrono	False
7.880969	0.3328109	0	0	0	0	0	chrono	False
7.889655	0.3414969	0	0	0	0	0	chrono	False
7.897393	0.3492351	0	0	0	0	0	chrono	False
7.906748	0.3585911	0	0	0	-0.05	-0.05	chrono	False
7.915681	0.3675232	0	0	0	0	0	chrono	False
7.924818	0.3766603	0	0	0	0	0	chrono	False
7.931826	0.3836694	0	0	0	0	0	chrono	False
7.940864	0.3927064	0	0	0	0	0	chrono	False
7.947604	0.3994465	0	0	0	0	0	chrono	False
7.957772	0.4096146	0	0	0	-0.05	0	chrono	False
7.964522	0.4163647	0	0	0	0	0	chrono	False
7.973353	0.4251952	0	0	0	0	0	chrono	False
7.980401	0.4322424	0	0	0	0	0	chrono	False
7.989958	0.4418001	0	0	0	0	-0.05	chrono	False
7.997724	0.4495659	0	0	0	0	0	chrono	False
8.007226	0.4590678	0	0	0	0	0	chrono	False
8.018362	0.4702048	0	0	0	-0.05	0	chrono	False
8.027748	0.4795899	0	0	0	0	-0.05	chrono	False
8.035602	0.4874454	0	0	0	-0.05	0	chrono	False
8.045711	0.4975524	0	0	0	0	0	chrono	False
8.053888	0.5057311	0	0	0	0	0	chrono	False
8.062832	0.5146737	0	0	0	0	0	chrono	False
8.070189	0.5220313	0	0	0	0	0	chrono	False
8.079596	0.5314374	0	0	0	0	-0.05	chrono	False
8.08723	0.5390735	0	0	0	0	0	chrono	False
8.096632	0.5484738	0	0	0	-0.05	-0.05	chrono	False
8.104747	0.5565886	0	0	0	0	0	chrono	False
8.113632	0.565475	0	0	0	0	0	chrono	False
8.122505	0.574347	0	0	0	-0.05	-0.05	chrono	False
8.131118	0.5829597	0	0	0	0	0	chrono	False
8.140675	0.5925183	0	0	0	0	-0.05	chrono	False
8.149126	0.6009679	0	0	0	0	-0.05	chrono	False
8.158235	0.6100774	0	0	0	0	0	chrono	False
8.165408	0.61725	0	0	0	0	-0.05	chrono	False
8.175691	0.6275334	0	0	0	0	0	chrono	False
8.182553	0.6343961	0	0	0	-0.05	0	chrono	False
8.192781	0.6446242	0	0	0	0	-0.05	chrono	False
8.199704	0.651546	0	0	0	0	-0.05	chrono	False
8.209899	0.6617427	0	0	0	0	0	chrono	False
8.216755	0.6685967	0	0	0	0	-0.05	chrono	False
8.227901	0.6797433	0	0	0	0	-0.1	chrono	False
8.23448	0.6863227	0	0	0	0	0	chrono	False
8.247076	0.6989188	0	0	0	0	-0.05	chrono	False
8.257834	0.7096772	0	0	0	0	-0.1	chrono	False
8.266524	0.7183661	0	0	0	0	-0.05	chrono	False
8.277354	0.7291961	0	0	0	0	-0.1	chrono	False
8.283914	0.7357564	0	0	0	0	0	chrono	False
8.298109	0.7499528	0	0	0	0	-0.05	chrono	False
8.325068	0.7769113	0	0	0	0	-0.35	chrono	False
8.341874	0.7937169	0	0	0	0	-0.45	chrono	False
8.351032	0.8028741	0	0	0	0	-0.2	chrono	False
8.362016	0.8138576	0	0	0	0	-0.45	chrono	False
8.370678	0.8225207	0	0	0	0	-0.3	chrono	False
8.379619	0.8314605	0	0	0	0.05	-0.55	chrono	False
8.388701	0.8405442	0	0	0	0.05	-0.2	chrono	False
8.396882	0.8487248	0	0	0	0	-0.2	chrono	False
8.40648	0.8583236	0	0	0	0.05	-0.25	chrono	False
